Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
1.7653135,-13.47755527,15.14447784,-37.01438141,42.20265556
1.7753435,-13.42643642,14.98033142,-36.98784256,42.10439433
1.7853745,-13.47316933,14.83853149,-36.97777939,42.06024818
1.7954045,-13.34601402,14.81886292,-37.04693604,42.07362901
1.8054345,-13.32857895,14.7742691,-37.12018585,42.11695908
1.8154645,-13.4508419,14.3299408,-37.20281601,42.07519305
1.8254945,-13.70338058,14.36587524,-37.13741302,42.1111441
1.8355245,-13.648139,14.15956116,-37.08639908,41.9781594
1.8455555,-13.71331501,13.95810699,-37.03636169,41.88765745
1.8555855,-13.73909092,13.85700989,-37.11765671,41.93447009
1.8656155,-13.55949116,13.69315338,-37.23099136,41.92265459
1.8756455,-13.45620728,13.60564423,-37.19817734,41.83165627
1.8856755,-13.29628944,13.679039,-37.41648102,41.99881514
1.8957065,-13.05121994,13.55970001,-37.58574295,42.03436546
1.9057365,-12.96449661,13.50502014,-37.66973114,42.065097
1.9157665,-12.51719093,13.45943451,-37.66556931,41.91099566
1.9257965,-12.39869213,13.40229797,-37.75972748,41.94217659
1.9358265,-12.05891514,13.25533295,-37.98847961,42.00292691
1.9458565,-12.08686066,13.39805603,-37.81468964,41.89929424
1.9558875,-12.14673042,13.08000946,-37.81703186,41.81814924
1.9659175,-12.21507549,12.97686005,-38.0086441,41.97932816
1.9759475,-12.34130764,12.80656433,-37.87140656,41.83968689
1.9859775,-12.47753048,12.76591492,-37.66944885,41.685066
1.9960075,-12.67539024,12.49087524,-37.81518936,41.79325339
2.0060375,-12.79403305,12.39304352,-37.91400146,41.88969225
2.0160685,-12.80939579,12.0974884,-37.92310715,41.81616795
2.0260985,-12.84297943,12.11153412,-37.89387894,41.80403617
2.0361285,-13.06681824,11.96809387,-37.81555557,41.76114526
2.0461585,-13.28466988,11.83503723,-38.03808975,41.99341415
2.0561885,-13.34897614,11.82771301,-38.0547905,42.02686092
2.0662185,-13.40051746,11.54543304,-37.95672607,41.87581577
2.0762495,-13.43113518,11.48615265,-37.86519623,41.78636357
2.0862795,-13.67270851,11.53086853,-37.83061218,41.84565814
2.0963095,-13.76936436,11.3889389,-37.915802,41.91552655
2.1063395,-13.77091503,11.39819336,-37.94204712,41.94229193
2.1163695,-13.95896912,11.20550537,-37.86640167,41.88413238
2.1263995,-14.15040398,11.31285095,-37.65480423,41.78634718
2.1364305,-14.41740131,11.28385925,-37.80856705,42.00803117
2.1464605,-14.46127605,11.2749176,-37.73149109,41.95137294
2.1564905,-14.53477287,11.18807983,-37.61198425,41.84607643
2.1665205,-14.71088314,11.04972839,-37.50590515,41.77558499
2.1765505,-14.51766682,11.04782867,-37.43572998,41.64433992
2.1865805,-14.60451794,11.15013123,-37.60322571,41.852359
2.1966115,-14.60451794,11.15013123,-37.60322571,41.852359
2.2066415,-14.50034046,11.14814758,-37.74483109,41.94297726
2.2166715,-14.53337002,11.17050171,-37.70959473,41.92865949
2.2267015,-14.59360695,11.28982544,-37.67843246,41.95351946
2.2367315,-14.37167931,11.30275726,-37.67614746,41.87827092
2.2467625,-14.2962141,11.47571564,-37.8171196,42.02628132
2.2567925,-14.28509521,11.76287842,-37.82682037,42.11054017
2.2668225,-14.15729237,12.02837372,-37.69815063,42.02691117
2.2768525,-14.17974472,12.1967926,-37.51576996,41.91968399
2.2868825,-14.05113602,12.3772583,-37.55498886,41.96436744
2.2969125,-14.03043842,12.58438873,-37.7412529,42.18556877
2.3069435,-14.16649818,12.8363266,-37.70633698,42.27562891
2.3169735,-14.27946281,13.12391663,-37.52374268,42.23945443
2.3270035,-14.54441833,13.35675812,-37.19701767,42.11367018
2.3370335,-14.7652607,13.45471191,-37.01122284,42.05796966
2.3470635,-14.96884441,13.75233459,-37.06474304,42.27278305
2.3570935,-15.26316071,13.95426178,-37.11654282,42.48909563
2.3671245,-15.36689091,13.87135315,-36.97536087,42.37609097
2.3771545,-15.29249382,13.766716,-36.72535324,42.0967268
2.3871845,-15.30397987,13.68006134,-36.91326523,42.23677341
2.3972145,-15.29561329,13.84280396,-36.97635651,42.34182268
2.4072445,-15.28999996,13.88845825,-37.10405731,42.46627415
2.4172745,-15.22126961,13.93178558,-36.90841675,42.28490185
2.4273055,-15.35589695,14.11470795,-36.86847687,42.35933354
2.4373355,-15.38350391,14.014328,-37.01020813,42.45949938
2.4473655,-15.48481369,13.95448303,-36.99396896,42.46246332
2.4573955,-15.47720909,14.13098145,-37.0578537,42.57362045
2.4674255,-15.3196888,14.17690277,-37.03741455,42.51408606
2.4774555,-15.14767456,14.00782776,-36.97543716,42.3421095
2.4874865,-15.01355076,14.0184021,-37.01601028,42.33328857
2.4975165,-14.8336668,13.89866638,-37.00805283,42.22329419
2.5075465,-14.82127666,13.96085358,-37.1516037,42.36528451
2.5175765,-14.58472633,13.94368744,-37.17221069,42.29555425
2.5276065,-14.36566925,13.78633881,-37.31005096,42.29037117
2.5376375,-14.24518585,13.59335327,-37.51497269,42.36835787
2.5476675,-14.18428135,13.61735535,-37.4427948,42.29171416
2.5576975,-14.20459652,13.54888153,-37.45158386,42.284322
2.5677275,-14.23039818,13.44167328,-37.43532181,42.24436213
2.5777575,-14.29118633,13.53224945,-37.54083633,42.38719352
2.587786667,-14.28283501,13.4511261,-37.72462845,42.52152115
2.597817667,-14.13907433,13.37281799,-37.81434631,42.5284666
2.607847667,-14.25490093,13.4797287,-37.72486115,42.52141149
2.617877667,-14.078825,13.57236481,-37.49743652,42.29042617
2.627907667,-14.20697021,13.48892975,-37.58959198,42.38828439
2.637937667,-14.12423897,13.44221497,-37.72686005,42.46767287
2.647967667,-13.94273853,13.37549591,-37.57200241,42.24877766
2.657998667,-14.06882668,13.65002441,-37.56035995,42.36786153
2.668028667,-14.06018639,13.68706512,-37.67242813,42.47630439
2.678058667,-13.98398972,13.47109985,-37.89523315,42.58017374
2.688088667,-13.92520046,13.43146515,-37.7661438,42.43344296
2.698118667,-13.86282825,13.50958252,-37.89483643,42.55238483
2.708148667,-13.91802883,13.81947327,-37.84221268,42.62302697
2.718179667,-13.74793816,13.77289581,-37.81838226,42.53150009
2.728209667,-13.62847614,13.91420746,-37.93836975,42.64575513
2.738239667,-13.50694084,14.06993103,-38.04816437,42.75585599
2.748269667,-13.28940964,13.95039368,-37.97795105,42.58575652
2.758299667,-13.23253059,14.1468811,-37.9901123,42.64367179
2.768330667,-13.19406319,14.43251801,-37.948349,42.69025733
2.778360667,-13.20763206,14.36925507,-38.03919601,42.75391759
2.788390667,-13.16686916,14.36019897,-38.06884766,42.76469245
2.798420667,-13.16397858,14.41524506,-37.99353027,42.715313
2.808450667,-13.17877674,14.53065491,-37.90184784,42.67751349
2.818480667,-13.18810749,14.40255737,-37.97059631,42.69807985
2.828511667,-13.28949928,14.5362854,-38.11283493,42.9010789
2.838541667,-13.28725624,14.37714386,-38.10285187,42.83784267
2.848571667,-13.3928194,14.42127228,-37.82671738,42.64037117
2.858601667,-13.28204727,14.18341064,-37.87197876,42.56605094
2.868631667,-13.18982792,14.00327301,-38.10387039,42.68451891
2.878661667,-13.23010254,13.93397522,-38.09157944,42.66332972
2.888692667,-13.23372841,13.67081451,-38.35469437,42.81477919
2.898722667,-13.37200642,13.64498901,-38.3938942,42.88458222
2.908752667,-13.21174145,13.46259308,-38.49886322,42.87136566
2.918782667,-13.42337418,13.19958496,-38.65405273,42.99478817
2.928812667,-13.55030441,13.06381989,-38.53856659,42.8893373
2.938842667,-13.7878294,12.9152832,-38.47326279,42.86141306
2.948873667,-13.9796772,12.75614166,-38.4101944,42.81931291
2.958903667,-14.15741158,12.88258362,-38.33147812,42.84501696
2.968933667,-14.35530758,12.75925446,-38.33203125,42.87444518
2.978963667,-14.6033268,12.76068115,-38.30691528,42.93613741
2.988993667,-14.76834869,12.78849792,-38.35082245,43.0399278
2.999024667,-14.78894329,12.99934387,-38.25889587,43.02834994
